"id","SalesRank","livreID"
"1","1","1"
"2","149","2"
"3","143270","3"
"4","1129","4"
"5","135745","5"
"6","4213","6"
"7","230698","7"
"8","61026","8"
"9","6506","9"
"10","45046","10"
"11","40064","11"
"12","2742","12"
"13","578627","13"
"14","10386","14"
"15","75829","15"
"16","7897","16"
"17","4401","17"
"18","3465","18"
"19","5274","19"
"20","68363","20"
"21","561084","21"
"22","27266","22"
"23","19787","23"
"24","165911","24"
"25","2277","25"
"26","33538","26"
"27","154071","27"
"28","2120","28"
"29","3724","29"
"30","12276","30"
"31","157037","31"
"32","10212","32"
"33","137501","33"
"34","163027","34"
"35","28379","35"
"36","35418","36"
"37","40246","37"
"38","128595","38"
"39","28964","39"
"40","2413","40"
"41","112328","41"
"42","100825","42"
"43","130394","43"
"44","12406","44"
"45","70227","45"
"46","98169","46"
"47","180275","47"
"48","54842","48"
"49","36562","49"
"50","40547","50"
"51","70909","51"
"52","9373","52"
"53","3977","53"
"54","11246","54"
"55","71364","55"
"56","79575","56"
"57","15177","57"
"58","60027","58"
"59","72442","59"
"60","270564","60"
"61","2205","61"
"62","33511","62"
"63","477","63"
"64","62490","64"
"65","1385","65"
"66","223944","66"
"67","27984","67"
"68","31602","68"
"69","164196","69"
"70","55779","70"
"71","84704","71"
"72","40555","72"
"73","17774","73"
"74","9937","74"
"75","185681","75"
"76","82783","76"
"77","228399","77"
"78","53055","78"
"79","225936","79"
"80","12008","80"
"81","7883","81"
"82","135250","82"
"83","76368","83"
"84","11002","84"
"85","29343","85"
"86","9575","86"
"87","32762","87"
"88","2904","88"
"89","14836","89"
"90","57351","90"
"91","43992","91"
"92","152973","92"
"93","57602","93"
"94","94995","94"
"95","248457","95"
"96","204851","96"
"97","660005","97"
"98","164281","98"
"99","667749","99"
"100","84885","100"
"101","437615","101"
"102","168094","102"
"103","45203","103"
"104","387846","104"
"105","376903","105"
"106","90066","106"
"107","162585","107"
"108","113186","108"
"109","93295","109"
"110","151072","110"
"111","414914","111"
"112","523966","112"
"113","76704","113"
"114","118777","114"
"115","359440","115"
"116","275184","116"
"117","408072","117"
"118","412449","118"
"119","546213","119"
"120","357208","120"
"121","163296","121"
"122","232729","122"
"123","647885","123"
"124","94255","124"
"125","529205","125"
"126","322528","126"
"127","288443","127"
"128","469907","128"
"129","164885","129"
"130","135300","130"
"131","119732","131"
"132","696800","132"
"133","247402","133"
"134","115627","134"
"135","528707","135"
"136","424215","136"
"137","302443","137"
"138","360576","138"
"139","308047","139"
"140","251630","140"
"141","472615","141"
"142","794978","142"
"143","729420","143"
"144","295239","144"
"145","593076","145"
"146","444342","146"
"147","606949","147"
"148","437478","148"
"149","882078","149"
"150","452375","150"
"151","316060","151"
"152","37463","152"
"153","1316965","153"
"154","694144","154"
"155","366297","155"
"156","676576","156"
"157","126435","157"
"158","636835","158"
"159","246271","159"
"160","345924","160"
"161","318668","161"
"162","650269","162"
"163","385319","163"
"164","158591","164"
"165","171276","165"
"166","49895","166"
"167","517154","167"
"168","1045221","168"
"169","710","169"
"170","340","170"
"171","523","171"
"172","388","172"
"173","3148","173"
"174","357","174"
"175","9887","175"
"176","4075","176"
"177","33387","177"
"178","8704","178"
"179","1530","179"
"180","1805","180"
"181","2057","181"
"182","6922","182"
"183","27241","183"
"184","9006","184"
"185","7202","185"
"186","2306","186"
"187","9639","187"
"188","33907","188"
"189","1227","189"
"190","11969","190"
"191","49125","191"
"192","26295","192"
"193","2035","193"
"194","14387","194"
"195","19268","195"
"196","288","196"
"197","12414","197"
"198","15925","198"
"199","35395","199"
"200","1916","200"
"201","10788","201"
"202","8943","202"
"203","591","203"
"204","16144","204"
"205","26329","205"
"206","14313","206"
"207","40917","207"
"208","56092","208"
"209","6769","209"
"210","31148","210"
"211","9826","211"
"212","46160","212"
"213","267","213"
"214","867","214"
"215","92988","215"
"216","31747","216"
"217","36959","217"
"218","17491","218"
"219","11862","219"
"220","86454","220"
"221","67773","221"
"222","46710","222"
"223","14143","223"
"224","24279","224"
"225","53525","225"
"226","24426","226"
"227","33668","227"
"228","7827","228"
"229","46153","229"
"230","10539","230"
"231","48061","231"
"232","41678","232"
"233","101305","233"
"234","3472","234"
"235","70095","235"
"236","5260","236"
"237","35304","237"
"238","39504","238"
"239","27597","239"
"240","98727","240"
"241","120017","241"
"242","180235","242"
"243","81453","243"
"244","44752","244"
"245","47614","245"
"246","29082","246"
"247","41013","247"
"248","29929","248"
"249","118638","249"
"250","36310","250"
"251","156790","251"
"252","41806","252"
"253","27889","253"
"254","61037","254"
"255","31217","255"
"256","90030","256"
"257","10654","257"
"258","103039","258"
"259","82798","259"
"260","8412","260"
"261","319019","261"
"262","16615","262"
"263","221360","263"
"264","51670","264"
"265","564856","265"
"266","10837","266"
"267","14289","267"
"268","192151","268"
"269","437757","269"
"270","80561","270"
"271","83985","271"
"272","644655","272"
"273","406346","273"
"274","685839","274"
"275","117826","275"
"276","56709","276"
"277","1180809","277"
"278","207118","278"
"279","1164028","279"
"280","785881","280"
"281","720794","281"
"282","852429","282"
"283","114095","283"
"284","1007351","284"
"285","1227157","285"
"286","746639","286"
"287","329395","287"
"288","508080","288"
"289","355251","289"
"290","766727","290"
"291","1076992","291"
"292","1162037","292"
"293","0","293"
"294","557696","294"
"295","226606","295"
"296","806811","296"
"297","207275","297"
"298","316928","298"
"299","276302","299"
"300","247540","300"
"301","687235","301"
"302","557870","302"
"303","1690843","303"
"304","153798","304"
"305","742235","305"
"306","658840","306"
"307","834855","307"
"308","1344728","308"
"309","310279","309"
"310","286765","310"
"311","1014268","311"
"312","892526","312"
"313","853479","313"
"314","1331708","314"
"315","384881","315"
"316","871280","316"
"317","279281","317"
"318","1040077","318"
"319","482871","319"
"320","757194","320"
"321","0","321"
"322","2262785","322"
"323","2521054","323"
"324","2262620","324"
"325","1563673","325"
"326","2142771","326"
"327","2021274","327"
"328","1332154","328"
"329","1117116","329"
"330","1245010","330"
"331","2249819","331"
"332","1298482","332"
"333","690895","333"
"334","709184","334"
"335","30377","335"
"336","990633","336"
"337","904101","337"
"338","331426","338"
"339","0","339"
"340","0","340"
"341","0","341"
"342","0","342"
"343","0","343"
"344","464929","344"
"345","0","345"
"346","991017","346"
"347","0","347"
"348","0","348"
"349","0","349"
"350","1752482","350"
"351","1873801","351"
"352","1919948","352"
"353","2550324","353"
"354","1555747","354"
"355","0","355"
"356","2529536","356"
"357","1755181","357"
"358","0","358"
"359","1785438","359"
"360","1170256","360"
"361","2131192","361"
"362","0","362"
"363","2177033","363"
"364","280256","364"
"365","0","365"
"366","1114769","366"
"367","6556","367"
"368","179426","368"
"369","30636","369"
"370","34126","370"
"371","16466","371"
"372","70345","372"
"373","535496","373"
"374","39727","374"
"375","47990","375"
"376","11550","376"
"377","623189","377"
"378","98610","378"
"379","199957","379"
"380","81321","380"
"381","99925","381"
"382","15017","382"
"383","141521","383"
"384","8134","384"
"385","84306","385"
"386","26648","386"
"387","7317","387"
"388","84192","388"
"389","131917","389"
"390","82580","390"
"391","198868","391"
"392","169809","392"
"393","49866","393"
"394","169419","394"
"395","21463","395"
"396","104163","396"
"397","96815","397"
"398","56716","398"
"399","36603","399"
"400","117783","400"
"401","15518","401"
"402","233552","402"
"403","104756","403"
"404","103485","404"
"405","227837","405"
"406","556348","406"
"407","6968","407"
