"id","NbrePages10ID","livreID"
"398","45","398"
"399","23","399"
"400","12","400"
"401","20","401"
"402","44","402"
"403","65","403"
"404","28","404"
"405","35","405"
"406","21","406"
"407","55","407"
"408","60","408"
"409","25","409"
"410","67","410"
"411","33","411"
"412","17","412"
"413","12","413"
"414","46","414"
"415","56","415"
"416","29","416"
"417","40","417"
"418","87","418"
"419","79","419"
"420","79","420"
"421","52","421"
"422","54","422"
"423","30","423"
"424","39","424"
"425","32","425"
"426","34","426"
"427","36","427"
"428","49","428"
"429","20","429"
"430","53","430"
"431","23","431"
"432","17","432"
"433","38","433"
"434","26","434"
"435","31","435"
"436","23","436"
"437","35","437"
"438","23","438"
"439","13","439"
"440","28","440"
"441","83","441"
"442","52","442"
"443","13","443"
"444","52","444"
"445","11","445"
"446","49","446"
"447","62","447"
"448","45","448"
"449","42","449"
"450","38","450"
"451","120","451"
"452","46","452"
"453","25","453"
"454","23","454"
"455","108","455"
"456","22","456"
"457","55","457"
"458","100","458"
"459","27","459"
"460","67","460"
"461","25","461"
"462","39","462"
"463","49","463"
"464","19","464"
"465","19","465"
"466","20","466"
"467","62","467"
"468","17","468"
"469","23","469"
"470","15","470"
"471","39","471"
"472","47","472"
"473","33","473"
"474","50","474"
"475","25","475"
"476","27","476"
"477","26","477"
"478","26","478"
"479","26","479"
"480","39","480"
"481","14","481"
"482","49","482"
"483","25","483"
"484","30","484"
"485","38","485"
"486","181","486"
"487","47","487"
"488","22","488"
"489","20","489"
"490","22","490"
"491","11","491"
"492","10","492"
"493","20","493"
"494","30","494"
"495","12","495"
"496","51","496"
"497","46","497"
"498","19","498"
"499","81","499"
"500","19","500"
"501","20","501"
"502","49","502"
"503","49","503"
"504","20","504"
"505","32","505"
"506","36","506"
"507","50","507"
"508","25","508"
"509","28","509"
"510","15","510"
"511","24","511"
"512","49","512"
"513","37","513"
"514","25","514"
"515","39","515"
"516","29","516"
"517","86","517"
"518","11","518"
"519","36","519"
"520","1","520"
"521","10","521"
"522","18","522"
"523","38","523"
"524","29","524"
"525","38","525"
"526","23","526"
"527","43","527"
"528","41","528"
"529","35","529"
"530","11","530"
"531","13","531"
"532","31","532"
"533","31","533"
"534","9","534"
"535","39","535"
"536","31","536"
"537","26","537"
"538","24","538"
"539","12","539"
"540","55","540"
"541","19","541"
"542","14","542"
"543","46","543"
"544","61","544"
"545","30","545"
"546","14","546"
"547","39","547"
"548","18","548"
"549","18","549"
"550","39","550"
"551","11","551"
"552","15","552"
"553","30","553"
"554","23","554"
"555","12","555"
"556","23","556"
"557","28","557"
"558","33","558"
"559","10","559"
"560","25","560"
"561","30","561"
"562","15","562"
"563","20","563"
"564","24","564"
"565","24","565"
"566","61","566"
"567","20","567"
"568","30","568"
"569","73","569"
"570","44","570"
"571","25","571"
"572","42","572"
"573","25","573"
"574","25","574"
"575","12","575"
"576","25","576"
"577","17","577"
"578","26","578"
"579","58","579"
"580","24","580"
"581","44","581"
"582","40","582"
"583","32","583"
"584","30","584"
"585","39","585"
"586","75","586"
"587","25","587"
"588","36","588"
"589","55","589"
"590","21","590"
"591","55","591"
"592","30","592"
"593","11","593"
"594","23","594"
"595","20","595"
"596","16","596"
"597","16","597"
"598","34","598"
"599","66","599"
"600","14","600"
"601","22","601"
"602","34","602"
"603","37","603"
"604","32","604"
"605","29","605"
"606","23","606"
"607","21","607"
"608","14","608"
"609","36","609"
"610","36","610"
"611","47","611"
"612","27","612"
"613","17","613"
"614","71","614"
"615","24","615"
"616","27","616"
"617","31","617"
"618","42","618"
"619","26","619"
"620","185","620"
"621","63","621"
"622","61","622"
"623","23","623"
"624","41","624"
"625","9","625"
"626","15","626"
"627","21","627"
"628","39","628"
"629","41","629"
"630","25","630"
"631","51","631"
"632","17","632"
"633","15","633"
"634","17","634"
"635","23","635"
"636","59","636"
"637","68","637"
"638","17","638"
