"createurID","createur"
"5071","Andrew Dettmann"
"4680","Andrew Deutschman"
"3015","Andrew Fleming"
"1703","Andrew Gurland"
"3899","Andrew J. Fenady"
"1759","Andrew Kreisberg"
"2065","Andrew Leeds"
"3833","Andrew Leeds"
"995","Andrew Lenchewski"
"4722","Andrew Lenchewski"
"4598","Andrew Lowery"
"924","Andrew Marlowe"
"388","Andrew Marshall"
"1498","Andrew Miller"
"2378","Andrew Mogel"
"4983","Andrew Mogel"
"3846","Andrew Nicholls"
"4898","Andrew O'Connor"
"1856","Andrew Orenstein"
"4233","Andrew Orvedahl"
"1568","Andrew Reich"
"3968","Andrew Reich"
"906","Andrew Schneider"
"328","Andrew Secunda"
"3058","Andrew Sodroski"
"2158","Andrew Steele"
"2698","Andrew Stern"
"4380","Andrew Stern"
"3999","Andrew Weinberg"
"565","Andrew Wreggitt"
"248","Andy Borowitz"
"5143","Andy Borowitz"
"66","Andy Breckman"
"2992","Andy Cochran"
"3875","Andy Cremer"
"1425","Andy Gordon"
"847","Andy Hamilton"
"3947","Andy Hamilton"
"1368","Andy Harries"
"4917","Andy Heyward"
"4215","Andy Schwartz"
"4337","Andy St. Clair"
"2351","Andy Tennant"
"1958","Angela Kinsey"
"2176","Angela Santomero"
"2649","Angie Day"
"1011","Ann Biderman"
"3247","Ann Donahue"
"772","Ann McManus"
"3397","Ann McManus"
"2216","Ann Peacock"
"4513","Anna Bache-Wiig"
"3071","Anna Fricke"
"3831","Anna Fricke"
"2463","Anna Winger"
"1658","Annabelle Perrichon"
"916","Anne Beatts"
"3119","Anne Berest"
"1780","Anne Bjornstad"
"3019","Anne Edmonds"
"731","Anne Giafferi"
"564","Anne Kenney"
"798","Anne Landois"
"3994","Anne Landois"
"1649","Anne Marie O'Connor"
"4777","Anne Rambach"
"3157","Anne Sewitsky"
"4000","Anne Thomopoulos"
"3624","Anne Viau"
"3725","Anne Wood"
"3573","Anne-Sophie Barret"
"1417","Annette Hess"
"5065","Annette K. Olesen"
"2880","Annette Reeker"
"3674","Annette Tison"
"1408","Annie Brunner (II)"
"2392","Antarès Bassis"
"3035","Anthony Barthélémy"
"22","Anthony E. Zuiker"
"690","Anthony Gentile"
"1306","Anthony Hines"
"941","Anthony Horowitz"
"2986","Anthony Jaswinski"
"702","Anthony Maugendre"
"5037","Anthony Philipson"
"1657","Anthony Powell"
"2143","Anthony Roux"
"4792","Anthony Russo"
"4312","Anthony Swofford"
"802","Anthony Wilson"
"272","Anthony Yerkovich"
"2844","Antoine Bours"
"4670","Antoine Charreyron"
"5218","Antoine Disle"
"1771","Antoine Pinson"
"4065","Antony Root"
"1490","April Blair"
"1075","April Kelly"
"4148","April Kelly"
"3788","Arabella Weir"
"4048","Araceli Monsell"
"4216","Arden Myrin"
"868","Ari Schlossberg"
"644","Ariane Carletti"
"696","Ariane Gil"
"2801","Ariel Shaffir"
"645","Arik Lubetzki"
"4915","Arlene Klasky"
"1051","Armando Iannucci"
"880","Arnaud Gidoin"
"3219","Arnaud Husson"
"1135","Arnaud Jollet"
"2011","Arnaud Malherbe"
"2977","Arnaud Mizzon"
"4315","Arne Feldhusen"
"1201","Arnold Laven"
"1404","Arnold Margolin"
"1619","Arnold Schwarzenegger"
"1689","Aron Eli Coleite"
"1821","Arsène Mosca"
"3635","Art Arthur"
"3412","Art Monterastelli"
"1540","Art Napoleon"
"3092","Arthur Benzaquen"
"1005","Arthur Qwak"
"3838","Arthur Silver"
"4616","Asaf Shalmon"
"2167","Asaph Fipke"
"2501","Aseem Batra"
"4985","Ash Atalla"
"5024","Ashley Blaker"
"886","Ashley Pharoah"
"3621","Ashley Pharoah"
"4856","Ashley Pharoah"
"3754","Ashton Kutcher"
"4796","Asier Guerricaechebarria"
"2543","Assaf Beiser"
"1330","Atze Schröder"
"2917","Aubrey Nealon"
"2866","Audrey Estrougo"
"3177","Audrey Fouché"
"2964","Aurélien Molas"
"5137","Aurélien Molas"
"3228","Aurora Browne"
"4192","Aurore Damant"
"2784","Austen Earl"
"217","Austin Winsberg"
"2500","Ava DuVernay"
"10","Avi Arad"
"4756","Avi Issacharoff"
"2110","Avner Bernheimer"
"4752","Avril Spary"
"1602","Avrum Jacobson"
"1716","Ayelet Waldman"
"2638","Aziz Ansari"
"4694","Baptiste Lorber"
"2809","Baran bo Odar"
"585","Barbara Avedon"
"3514","Barbara Corday"
"1993","Barbara Grinberg"
"113","Barbara Hall"
"856","Barbara Machin"
"5063","Barbara Nance"
"1666","Barbara Petronio"
"4525","Barbara Petronio"
"1421","Barbara Wiechmann"
"2244","Barbie Kligman"
"2160","Barry Kemp"
"3287","Barry Kemp"
"4386","Barry Langford"
"169","Barry Levinson"
"3462","Barry O'Brien"
"25","Barry Schindel"
"3661","Barry Schindel"
"4409","Barry Schwartz"
"508","Barry Sonnenfeld"
"4382","Barry Sonnenfeld"
"1161","Bas Adriaensen"
"3697","Bastien Gilliet"
"3183","Bat Hen Sabag"
"3235","Baya Rehaz"
"2220","Baz Luhrmann"
"4224","Béatrice Fournera"
"1237","Beau Willimon"
"2781","Becky Mode"
"3152","Beer ten Kate"
"953","Ben"
"994","Ben Best"
"1972","Ben Bocquelet"
"5026","Ben Clark"
"1029","Ben Court"
"862","Ben Edlund"
"1172","Ben Edwards"
"2874","Ben Elton"
"277","Ben Gannon"
"4751","Ben Kalifi"
"2397","Ben Karlin"
"1923","Ben Ketai"
