"nbreSaisonsID","nbreSaisons"
"1","0"
"2","0"
"3","1"
"12","10"
"13","11"
"14","12"
"15","13"
"16","14"
"17","15"
"18","16"
"19","17"
"20","18"
"21","19"
"4","2"
"22","20"
"23","21"
"24","22"
"25","23"
"26","25"
"27","26"
"28","27"
"29","29"
"5","3"
"30","30"
"31","32"
"32","34"
"33","35"
"34","37"
"35","39"
"6","4"
"36","40"
"37","41"
"38","42"
"39","44"
"40","46"
"41","47"
"7","5"
"42","52"
"8","6"
"9","7"
"10","8"
"11","9"
