"SerieID","id_allocine","titre_fr","titre_vo","poster","synopsis"
"7107","11529","Hulk et les agents du S.M.A.S.H","Hulk and the Agents of S.M.A.S.H.","http://fr.web.img1.acsta.net/pictures/210/258/21025832_20130808175419997.jpg","Hulk forme une équipe peu conventionnelle avec des membres de sa famille - sa cousine Miss Hulk et son fils, le sauvage Skaar - ainsi qu'avec d?impressionnants coéquipiers: l'irascible Red Hulk et l'exubérant A-Bomb. Ensembles, ils affrontent des menaces trop importantes pour d'autres héros."
"7108","11530","F--k, I'm in My Twenties","F--k, I'm in My Twenties","http://fr.web.img6.acsta.net/medias/nmedia/18/93/98/03/20292620.jpg","Les chroniques quotidiennes d'une jeune new-yorkaise."
"7109","11531","Avengers Rassemblement","Marvel's Avengers Assemble","http://fr.web.img4.acsta.net/medias/nmedia/18/93/98/01/20292617.jpg","Marvel?s Avengers Assemble est une série animée racontant des histoires directement en lien avec le film The Avengers. Iron Man est le leader de cette équipe réunissant les plus puissants des superhéros: Hulk, Captain America, Thor, Hawkeye, Black Widow et un nouveau venu, Falcon. Ils allieront leurs..."
"7110","11532","Dreams : 1 rêve, 2 vies","Dreams : 1 rêve, 2 vies","http://fr.web.img3.acsta.net/pictures/13/12/16/18/38/475618.jpg","Julia, est de retour sur son île natale à Saint-Martin pour y retrouver son père après deux ans d?études à Paris. Riche et influent, Pierre dirige la plus grande chaine d?hôtellerie de luxe de l?île, le Western Indies.
Après une enfance heureuse, la vie de Julia bascule le jour où sa mère..."
"7111","11533","Les Bracelets rouges","Polseres Vermelles","http://fr.web.img6.acsta.net/medias/nmedia/18/93/99/72/20421184.jpg","Des enfants et des adolescents se lient d'amitié alors qu'ils sont patients dans un hôpital..."
"7112","11534","26 LETTRES ? ce qui n?a pas fonctionné avec mon ex","26 LETTRES ? ce qui n?a pas fonctionné avec mon ex","http://fr.web.img2.acsta.net/medias/nmedia/18/96/51/46/20472131.jpg","Fleur et Max retracent les grandes lignes de leur histoire d'amour à l'aide de flashbacks et témoignages à chaud. Travail, soirées, week-end entre amis, télévision et familles, tous les sujets sont abordés avec une grande dose d'humour et de mauvaise foi... !"
"7113","11542","Brooklyn Nine-Nine","Brooklyn Nine-Nine","http://fr.web.img2.acsta.net/pictures/15/08/31/11/11/346986.jpg","La vie au sein du commissariat de police de Brooklyn n'est pas de tout repos : une pléiade d'inspecteurs un poil loufoques doivent jongler entre leur mission de protéger et servir les habitants de la ville, leur vie personnelle et surtout celle du bureau."
"7114","11543","Triptank","Triptank","http://fr.web.img6.acsta.net/pictures/14/03/13/14/36/336741.jpg","Mix de séquences animées humoristiques créées par des personnes d'horizons variés, très connues et un peu moins."
"7115","11544","Blue Exorcist","Ao no Ekusoshisuto","http://fr.web.img2.acsta.net/medias/nmedia/18/94/11/17/20303644.jpg","Rin okumura, un ado de 15 ans adopté par un exorciste dès son plus jeune âge découvre un jour qu?il est le fils du Malin. Son père, Satan en personne, lui apparaît pour l?emmener dans son monde, mais le jeune garçon ne peut oublier tout ce qui lui a été enseigné jusqu?ici. Afin de venger fujimoto Shirô..."
"7116","11546","Blitt Happens","Blitt Happens","http://fr.web.img4.acsta.net/medias/nmedia/18/94/13/69/20305362.jpg",NULL
