"note_allocine_publicID","note_allocine_public"
"1",NULL
"2","1.8"
"3","2.2"
"4","2.3"
"5","2.5"
"6","2.6"
"7","2.7"
"8","2.8"
"9","3"
"10","3.1"
"11","3.2"
"12","3.3"
"13","3.4"
"14","3.5"
"15","3.6"
"16","3.7"
"17","3.8"
"18","3.9"
"19","4"
"20","4.1"
"21","4.2"
"22","4.3"
"23","4.4"
"24","4.5"
"25","4.6"
