"id","note_allocine_public","id_allocine"
"1","4.5","1628"
"2","4.5","115362"
"3","4.5","9393"
"4","4.5","10126"
"5","4.5","39187"
"6","4.4","19395"
"7","4.5","21189"
"8","4.6","10568"
"9","4.5","25802"
"10","4.4","143692"
"11","4.5","39186"
"12","4.5","2072"
"13","4.4","5969"
"14","4.3","19776"
"15","4.4","6641"
"16","4.2","5762"
"17","4.4","12837"
"18","3.6","1453"
"19","4.3","18598"
"20","4.3","37485"
"21","4.4","12475"
"22","4.5","114782"
"23","4.6","22779"
"24","4.4","1603"
"25","4.2","2645"
"26","4.4","182745"
"27","4.4","1832"
"28","4.3","121"
"29","4.3","28359"
"30","4.2","7124"
"31","4.4","448"
"32","4.5","225953"
"33","4.5","24944"
"34","4.2","108998"
"35","4.5","10862"
"36","4.2","25744"
"37","4.3","27061"
"38","4.4","2253"
"39","4.1","680"
"40","2.2","213698"
"41","4.4","10251"
"42","4.3","4499"
"43","4.5","190918"
"44","4.3","863"
"45","4.3","123734"
"46","3.7","197686"
"47","4.2","21946"
"48","4.3","132874"
"49","4.2","54137"
"50","4.1","2167"
"51","3.4","251273"
"52","4","4616"
"53","4.3","857"
"54","4.3","980"
"55","4.2","531"
"56","4.4","25803"
"57","4.2","10080"
"58","4.4","7524"
"59","4.2","418"
"60","3.8","147116"
"61","4.1","4749"
"62","4.2","105"
"63","4.2","67"
"64","4.2","40191"
"65","4.3","308"
"66","4.1","42792"
"67","4.3","2749"
"68","4.2","5120"
"69","4.2","14264"
"70","4","176535"
"71","4.1","33353"
"72","4.4","126123"
"73","4.3","60208"
"74","4","240850"
"75","4.1","2570"
"76","4.3","2255"
"77","3.5","363"
"78","3.5","3243"
"79","4.2","929"
"80","4","12032"
"81","4.2","240"
"82","3.3","231088"
"83","2.5","33286"
"84","3.3","190774"
"85","4.1","51013"
"86","4.2","26186"
"87","4.2","7663"
"88","3.9","58349"
"89","4.3","950"
"90","4.3","14046"
"91","3.5","14824"
"92","3.1","41569"
"93","4","2604"
"94","3.9","57689"
"95","4.2","14790"
"96","4","45970"
"97","3.9","7545"
"98","4.2","171223"
"99","4.3","196960"
"100","4","1627"
"101","4.1","19298"
"102","4.2","14178"
"103","4.2","1975"
"104","4.3","180"
"105","4.1","58911"
"106","3.8","4032"
"107","4.2","127524"
"108","4.4","138673"
"109","4.1","14788"
"110","4.5","135063"
"111","3.9","27782"
"112","4.2","115"
"113","4.3","29714"
"114","4.1","14928"
"115","4.1","1048"
"116","4.1","110096"
"117","4.1","16463"
"118","2.3","17646"
"119","4.2","29057"
"120","4.3","986"
"121","4","109788"
"122","3.7","40646"
"123","4.2","2688"
"124","4","3984"
"125","3","109576"
"126","2.8","222528"
"127","4.3","229490"
"128","4.2","264"
"129","4.2","139621"
"130","4.3","217882"
"131","4.3","132039"
"132","4.3","110101"
"133","4.1","1557"
"134","4","249"
"135","4.2","225116"
"136","4.1","221270"
"137","3.9","223252"
"138","4.2","29700"
"139","4.1","2513"
"140","3.8","46077"
"141","4.4","195370"
"142","3.9","1532"
"143","4.2","207825"
"144","4.1","62178"
"145","4.2","55483"
"146","4.3","196885"
"147","4.2","125054"
"148","4.4","56714"
"149","4.2","222271"
"150","4","702"
"151","4","559"
"152","4","26066"
"153","4.3","128959"
"154","3.9","1809"
"155","3.7","3326"
"156","3.7","38493"
"157","4.2","4479"
"158","4.2","71577"
"159","4.4","180887"
"160","4.3","134925"
"161","3.9","28251"
"162","4.2","3732"
"163","4.1","2596"
"164","4","34193"
"165","4.2","26862"
"166","4.3","135"
"167","4","88"
"168","4","309"
"169","4.1","59809"
"170","3.8","29738"
"171","3.9","337"
"172","3.8","12789"
"173","4.1","51123"
"174","4.4","176673"
"175","4.1","263"
"176","4","26389"
"177","3","126071"
"178","3.6","234256"
"179","4.2","26602"
"180","4.4","179349"
"181","4.1","4397"
"182","4.3","18671"
"183","4.1","299"
"184","3.9","8066"
"185","3.9","28384"
"186","4.5","11736"
"187","4.5","4063"
"188","4.5","27070"
"189","1.8","297"
"190","4.4","25801"
"191","4.2","45264"
"192","3.2","127650"
"193","4.4","2021"
"194","4.3","2256"
"195","3.9","55983"
"196","4.3","62"
"197","4.4","836"
"198","4","4989"
"199","4.3","73176"
"200","4","4884"
"201","4.5","1941"
"202","3.8","27063"
"203","4.2","260"
"204","4","27442"
"205","4.1","248"
"206","4.1","2252"
"207","4.3","5032"
"208","4.2","1596"
"209","2.3","111471"
"210","4.3","130368"
"211","4.1","7158"
"212","4.2","4019"
"213","4","1826"
"214","4.2","38827"
"215","4.2","2260"
"216","3.9","1602"
"217","3.9","548"
"218","4.1","2640"
"219","4.2","108016"
"220","4.2","700"
"221","4.3","22092"
"222","4","88396"
"223","4.2","9430"
"224","4.2","40132"
"225","4.1","1268"
"226","3.7","215097"
"227","4","25308"
"228","4.1","29757"
"229","4.2","5280"
"230","4.1","1621"
"231","4.2","46117"
"232","4.2","35973"
"233","4.3","983"
"234","4.2","8488"
"235","4.2","28541"
"236","4","89957"
"237","4","772"
"238","4.1","12551"
"239","4.2","111643"
"240","4.3","50409"
"241","4.4","28201"
"242","4.3","9684"
"243","4","773"
"244","4.4","228263"
"245","4.4","13892"
"246","4.2","26251"
"247","4","2495"
"248","3.9","108917"
"249","2.7","43986"
"250","3.5","37412"
"251","4","52715"
"252","4.2","29718"
"253","2.6","15829"
"254","3.6","13665"
"255","3.8","89979"
