"id","acteur","filmID"
"1","Jack Nicholson","1"
"2","Jack Nicholson","549"
"3","Jack Nicholson","669"
"4","Jack Nicholson","685"
"5","Jack Nicholson","955"
"6","Jack Nicholson","969"
"7","Jack Nicholson","2216"
"8","Robert De Niro","2"
"9","Robert De Niro","189"
"10","Robert De Niro","249"
"11","Robert De Niro","363"
"12","Robert De Niro","763"
"13","Robert De Niro","800"
"14","Robert De Niro","810"
"15","Robert De Niro","1656"
"16","Robert De Niro","1839"
"17","Robert De Niro","2210"
"18","Robert De Niro","2436"
"19","Robert De Niro","5800"
"20","Robert De Niro","6261"
"21","Gérard Philipe","3"
"22","Gérard Philipe","892"
"23","Gérard Philipe","1650"
"24","Gérard Philipe","2223"
"25","Gérard Philipe","2609"
"26","Gérard Philipe","2613"
"27","Gérard Philipe","2614"
"28","Gérard Philipe","3199"
"29","Gérard Philipe","3873"
"30","Gérard Philipe","4630"
"31","Gérard Philipe","7326"
"32","Kay Francis","4"
"33","Katharine Hepburn","5"
"34","Katharine Hepburn","595"
"35","Katharine Hepburn","2022"
"36","Katharine Hepburn","2176"
"37","Katharine Hepburn","2581"
"38","Katharine Hepburn","3183"
"39","Katharine Hepburn","4613"
"40","Katharine Hepburn","5148"
"41","Vladimir Orlowski","6"
"42","Jamie Lee Curtis","7"
"43","Jamie Lee Curtis","2914"
"44","Jamie Lee Curtis","3864"
"45","Micha Bayard","8"
"46","Zoe Lister Jones","9"
"47","Liza Minnelli","10"
"48","Liza Minnelli","2171"
"49","Bekim Fehmiu","11"
"50","Broderick Crawford","12"
"51","Broderick Crawford","927"
"52","Broderick Crawford","1835"
"53","Fredric March","13"
"54","Fredric March","430"
"55","Fredric March","436"
"56","Fredric March","1150"
"57","Fredric March","2319"
"58","Albert Finney","14"
"59","Albert Finney","93"
"60","Albert Finney","1207"
"61","Albert Finney","1801"
"62","Dustin Hoffman","15"
"63","Dustin Hoffman","126"
"64","Dustin Hoffman","1010"
"65","Dustin Hoffman","1116"
"66","Dustin Hoffman","3049"
"67","Dustin Hoffman","3540"
"68","Dustin Hoffman","5229"
"69","Dustin Hoffman","6050"
"70","Peter Brocco","16"
"71","Macha Méril","17"
"72","Macha Méril","1621"
"73","Macha Méril","2856"
"74","Macha Méril","2931"
"75","Jean-François Stévenin","18"
"76","Jean-François Stévenin","2875"
"77","Jean-François Stévenin","3221"
"78","Jean-François Stévenin","4322"
"79","Jean-François Stévenin","4596"
"80","Jean-François Stévenin","4941"
"81","Jean-François Stévenin","5952"
"82","Roger Moore","19"
"83","Roger Moore","199"
"84","Roger Moore","314"
"85","Roger Moore","490"
"86","Roger Moore","908"
"87","Roger Moore","964"
"88","Roger Moore","3708"
"89","Richard Bohringer","20"
"90","Richard Bohringer","464"
"91","Richard Bohringer","1188"
"92","Richard Bohringer","2030"
"93","Richard Bohringer","2242"
"94","Richard Bohringer","2972"
"95","Richard Bohringer","3494"
"96","Richard Bohringer","4869"
"97","Richard Bohringer","6756"
"98","Richard Bohringer","7211"
"99","Peter Firth","21"
"100","Toshirô Mifune","22"
"101","Toshirô Mifune","113"
"102","Toshirô Mifune","127"
"103","Toshirô Mifune","238"
"104","Toshirô Mifune","619"
"105","Toshirô Mifune","4578"
"106","Toshirô Mifune","4979"
"107","Toshirô Mifune","4980"
"108","Toshirô Mifune","4990"
"109","Toshirô Mifune","6063"
"110","Toshirô Mifune","6064"
"111","Vincent Price","23"
"112","Vincent Price","552"
"113","Vincent Price","589"
"114","Vincent Price","4376"
"115","Vincent Price","6992"
"116","Vincent Price","7337"
"117","Jean Seberg","24"
"118","Jean Seberg","629"
"119","Jean Seberg","1865"
"120","Jean Seberg","1914"
"121","Jean Seberg","4998"
"122","Paul Newman","25"
"123","Paul Newman","393"
"124","Paul Newman","426"
"125","Paul Newman","442"
"126","Paul Newman","1352"
"127","Paul Newman","1358"
"128","Paul Newman","1903"
"129","Paul Newman","2949"
"130","Paul Newman","3313"
"131","Paul Newman","4044"
"132","Paul Newman","5157"
"133","Paul Newman","5172"
"134","Paul Newman","6088"
"135","Paul Newman","6938"
"136","Danielle Darrieux","26"
"137","Danielle Darrieux","1183"
"138","Danielle Darrieux","1781"
"139","Danielle Darrieux","1906"
"140","Danielle Darrieux","2298"
"141","Danielle Darrieux","2603"
"142","Danielle Darrieux","3300"
"143","Danielle Darrieux","4139"
"144","Danielle Darrieux","4430"
"145","Danielle Darrieux","4692"
"146","Danielle Darrieux","4888"
"147","Francine Bergé","27"
"148","Franco Citti","28"
"149","Franco Citti","2020"
"150","Franco Citti","3286"
"151","Dirk Bogarde","29"
"152","Dirk Bogarde","487"
"153","Dirk Bogarde","1087"
"154","Dirk Bogarde","1445"
"155","Dirk Bogarde","1845"
"156","Dirk Bogarde","2666"
