"id","genreID","filmID"
"1","24","1"
"2","7","2"
"3","4","3"
"4","6","4"
"5","7","5"
"6","4","6"
"7","12","7"
"8","6","8"
"9","11","9"
"10","11","10"
"11","11","11"
"12","7","12"
"13","6","13"
"14","7","14"
"15","11","15"
"16","7","16"
"17","6","17"
"18","11","18"
"19","24","19"
"20","24","20"
"21","7","21"
"22","4","22"
"23","12","23"
"24","24","24"
"25","11","25"
"26","7","26"
"27","11","27"
"28","11","28"
"29","11","29"
"30","6","30"
"31","24","31"
"32","11","32"
"33","19","33"
"34","7","34"
"35","6","35"
"36","17","36"
"37","6","37"
"38","19","38"
"39","7","39"
"40","6","40"
"41","11","41"
"42","11","42"
"43","22","43"
"44","11","44"
"45","4","45"
"46","7","46"
"47","10","47"
"48","2","48"
"49","4","49"
"50","11","50"
"51","11","51"
"52","11","52"
"53","11","53"
"54","26","54"
"55","24","55"
"56","11","56"
"57","24","57"
"58","7","58"
"59","7","59"
"60","11","60"
"61","11","61"
"62","11","62"
"63","7","63"
"64","11","64"
"65","11","65"
"66","11","66"
"67","17","67"
"68","11","68"
"69","11","69"
"70","11","70"
"71","10","71"
"72","11","72"
"73","8","73"
"74","7","74"
"75","6","75"
"76","11","76"
"77","10","77"
"78","11","78"
"79","11","79"
"80","9","80"
"81","2","81"
"82","12","82"
"83","6","83"
"84","11","84"
"85","22","85"
"86","11","86"
"87","27","87"
"88","2","88"
"89","18","89"
"90","11","90"
"91","11","91"
"92","17","92"
"93","11","93"
"94","7","94"
"95","11","95"
"96","11","96"
"97","19","97"
"98","24","98"
"99","2","99"
"100","4","100"
"101","11","101"
"102","11","102"
"103","11","103"
"104","10","104"
"105","6","105"
"106","6","106"
"107","11","107"
"108","2","108"
"109","11","109"
"110","6","110"
"111","4","111"
"112","19","112"
"113","11","113"
"114","2","114"
"115","11","115"
"116","2","116"
"117","11","117"
"118","11","118"
"119","26","119"
"120","6","120"
"121","6","121"
"122","27","122"
"123","4","123"
"124","7","124"
"125","11","125"
"126","11","126"
"127","24","127"
"128","7","128"
"129","1","129"
"130","11","130"
"131","7","131"
"132","22","132"
"133","11","133"
"134","4","134"
"135","4","135"
"136","11","136"
"137","11","137"
"138","11","138"
"139","1","139"
"140","17","140"
"141","11","141"
"142","11","142"
"143","4","143"
"144","11","144"
"145","24","145"
"146","11","146"
"147","17","147"
"148","11","148"
"149","24","149"
"150","11","150"
"151","7","151"
"152","11","152"
"153","17","153"
"154","11","154"
"155","7","155"
"156","12","156"
"157","9","157"
"158","6","158"
"159","7","159"
"160","24","160"
"161","7","161"
"162","11","162"
"163","24","163"
"164","17","164"
"165","4","165"
"166","11","166"
"167","11","167"
"168","4","168"
"169","8","169"
"170","11","170"
"171","6","171"
"172","26","172"
"173","11","173"
"174","28","174"
"175","19","175"
"176","22","176"
"177","11","177"
"178","7","178"
"179","7","179"
"180","11","180"
"181","7","181"
"182","11","182"
"183","2","183"
"184","24","184"
"185","11","185"
"186","11","186"
"187","6","187"
"188","11","188"
"189","11","189"
"190","6","190"
"191","8","191"
"192","11","192"
"193","26","193"
"194","7","194"
"195","11","195"
"196","11","196"
"197","11","197"
"198","25","198"
"199","1","199"
"200","25","200"
"201","6","201"
"202","6","202"
"203","10","203"
"204","1","204"
"205","11","205"
"206","7","206"
"207","25","207"
"208","6","208"
"209","26","209"
"210","11","210"
"211","11","211"
"212","11","212"
"213","7","213"
"214","11","214"
"215","11","215"
"216","11","216"
"217","6","217"
"218","11","218"
"219","11","219"
"220","11","220"
"221","24","221"
"222","19","222"
"223","11","223"
"224","27","224"
"225","11","225"
"226","4","226"
"227","11","227"
"228","2","228"
"229","6","229"
"230","4","230"
"231","7","231"
"232","1","232"
"233","11","233"
"234","11","234"
"235","10","235"
"236","12","236"
"237","24","237"
"238","4","238"
"239","10","239"
"240","24","240"
"241","26","241"
"242","24","242"
"243","17","243"
"244","11","244"
"245","11","245"
"246","11","246"
"247","24","247"
"248","4","248"
"249","11","249"
"250","26","250"
"251","11","251"
"252","8","252"
"253","11","253"
"254","8","254"
"255","22","255"
"256","2","256"
"257","2","257"
"258","6","258"
"259","11","259"
"260","7","260"
"261","11","261"
"262","7","262"
"263","7","263"
"264","7","264"
"265","7","265"
"266","11","266"
"267","2","267"
"268","24","268"
"269","24","269"
"270","17","270"
"271","25","271"
"272","11","272"
"273","11","273"
"274","11","274"
"275","17","275"
"276","11","276"
"277","7","277"
"278","11","278"
"279","9","279"
"280","9","280"
"281","9","281"
"282","9","282"
"283","6","283"
"284","6","284"
"285","6","285"
"286","6","286"
"287","6","287"
"288","6","288"
"289","6","289"
"290","6","290"
"291","6","291"
"292","24","292"
"293","28","293"
"294","27","294"
"295","1","295"
"296","28","296"
"297","4","297"
"298","24","298"
"299","1","299"
"300","28","300"
"301","24","301"
"302","24","302"
"303","4","303"
"304","4","304"
"305","11","305"
"306","24","306"
"307","24","307"
"308","9","308"
"309","6","309"
"310","24","310"
"311","11","311"
"312","11","312"
"313","7","313"
"314","14","314"
"315","28","315"
"316","11","316"
"317","9","317"
"318","11","318"
"319","7","319"
"320","7","320"
"321","7","321"
"322","7","322"
"323","7","323"
"324","11","324"
"325","4","325"
"326","26","326"
"327","9","327"
"328","11","328"
"329","11","329"
"330","7","330"
"331","6","331"
"332","24","332"
"333","9","333"
"334","7","334"
"335","7","335"
"336","7","336"
"337","7","337"
"338","22","338"
"339","2","339"
"340","17","340"
"341","7","341"
"342","9","342"
"343","28","343"
"344","24","344"
"345","11","345"
"346","6","346"
"347","8","347"
"348","8","348"
"349","22","349"
"350","24","350"
"351","11","351"
"352","11","352"
"353","26","353"
