"id","note_allocine_presseID","filmID"
"373","36","2619"
"374","21","2622"
"375","29","2624"
"376","34","2652"
"377","34","2664"
"378","26","2666"
"379","16","2668"
"380","16","2683"
"381","36","2698"
"382","36","2743"
"383","34","2753"
"384","31","2765"
"385","31","2787"
"386","28","2792"
"387","36","2813"
"388","36","2818"
"389","24","2820"
"390","26","2821"
"391","26","2822"
"392","19","2825"
"393","33","2827"
"394","26","2837"
"395","24","2839"
"396","19","2843"
"397","24","2845"
"398","36","2878"
"399","27","2892"
"400","29","2894"
"401","36","2901"
"402","16","2922"
"403","26","2923"
"404","26","2925"
"405","21","2926"
"406","27","2945"
"407","30","2954"
"408","31","2970"
"409","26","2971"
"410","36","2974"
"411","32","2985"
"412","26","3016"
"413","36","3032"
"414","36","3035"
"415","28","3046"
"416","22","3049"
"417","36","3070"
"418","14","3084"
"419","14","3115"
"420","16","3143"
"421","26","3149"
"422","14","3155"
"423","29","3156"
"424","26","3163"
"425","26","3166"
"426","28","3176"
"427","16","3179"
"428","26","3183"
"429","36","3191"
"430","30","3197"
"431","31","3267"
"432","16","3272"
"433","31","3282"
"434","22","3311"
"435","26","3334"
"436","26","3339"
"437","28","3340"
"438","36","3347"
"439","26","3350"
"440","36","3356"
"441","36","3358"
"442","31","3359"
"443","36","3371"
"444","33","3373"
"445","36","3378"
"446","26","3381"
"447","36","3385"
"448","18","3398"
"449","18","3400"
"450","12","3405"
"451","30","3438"
"452","16","3440"
"453","20","3443"
"454","36","3455"
"455","21","3459"
"456","36","3490"
"457","30","3492"
"458","26","3512"
"459","34","3515"
"460","36","3524"
"461","35","3529"
"462","36","3538"
"463","32","3552"
"464","26","3558"
"465","36","3588"
"466","36","3598"
"467","18","3601"
"468","4","3603"
"469","16","3611"
"470","26","3615"
"471","36","3621"
"472","26","3628"
"473","16","3636"
"474","21","3642"
"475","23","3643"
"476","31","3679"
"477","36","3681"
"478","16","3687"
"479","31","3714"
"480","28","3737"
"481","14","3751"
"482","31","3756"
"483","36","3757"
"484","31","3819"
"485","23","3820"
"486","16","3840"
"487","8","3841"
"488","26","3865"
"489","22","3879"
"490","18","3963"
"491","32","3964"
"492","28","3974"
"493","36","4008"
"494","11","4014"
"495","26","4044"
"496","26","4045"
"497","33","4057"
"498","24","4067"
"499","33","4086"
"500","16","4087"
"501","36","4109"
"502","26","4119"
"503","36","4171"
"504","26","4183"
"505","26","4195"
"506","12","4224"
"507","21","4233"
"508","24","4269"
"509","26","4296"
"510","8","4305"
"511","18","4335"
"512","26","4409"
"513","26","4456"
"514","36","4457"
"515","36","4470"
"516","8","4474"
"517","20","4496"
"518","8","4505"
"519","36","4570"
"520","24","4592"
"521","21","4612"
"522","32","4613"
"523","36","4617"
"524","36","4619"
"525","31","4677"
"526","34","4762"
"527","33","4792"
"528","27","4808"
"529","31","4809"
"530","36","4892"
"531","36","4898"
"532","26","4899"
"533","36","4907"
"534","25","4908"
"535","22","4929"
"536","26","4938"
"537","23","4945"
"538","27","4949"
"539","24","4953"
"540","21","4954"
"541","36","4977"
"542","36","4978"
"543","31","5002"
"544","36","5057"
"545","36","5065"
"546","31","5069"
"547","31","5074"
"548","3","5076"
"549","36","5097"
"550","28","5109"
"551","29","5116"
"552","36","5132"
"553","21","5154"
"554","35","5156"
"555","16","5157"
"556","24","5160"
"557","23","5162"
"558","31","5186"
"559","19","5190"
"560","22","5214"
"561","21","5284"
"562","20","5288"
"563","24","5298"
"564","24","5303"
"565","24","5305"
"566","7","5341"
"567","36","5354"
"568","14","5374"
"569","12","5391"
"570","26","5451"
"571","26","5482"
"572","31","5489"
"573","36","5507"
"574","26","5526"
"575","32","5529"
"576","34","5607"
"577","28","5628"
"578","18","5645"
"579","28","5701"
"580","21","5709"
"581","18","5765"
"582","14","5768"
"583","14","5769"
"584","24","5792"
"585","25","5793"
"586","26","5821"
"587","24","5831"
"588","25","5832"
"589","26","5924"
"590","16","5927"
"591","24","5957"
"592","20","6018"
"593","11","6026"
"594","26","6050"
"595","14","6059"
"596","21","6076"
"597","15","6077"
