"id","note_allocine_publicID","filmID"
"1","23","1"
"2","22","2"
"3","17","3"
"4","30","4"
"5","26","5"
"6","21","6"
"7","16","7"
"8","17","8"
"9","23","9"
"10","27","10"
"11","27","12"
"12","23","13"
"13","22","14"
"14","28","15"
"15","17","16"
"16","13","17"
"17","18","18"
"18","21","19"
"19","17","20"
"20","18","21"
"21","21","22"
"22","25","23"
"23","27","24"
"24","21","25"
"25","22","26"
"26","18","27"
"27","29","28"
"28","22","29"
"29","20","30"
"30","23","31"
"31","18","33"
"32","22","34"
"33","22","35"
"34","17","36"
"35","17","37"
"36","16","38"
"37","27","39"
"38","19","40"
"39","27","41"
"40","18","43"
"41","22","44"
"42","27","45"
"43","25","46"
"44","19","47"
"45","21","48"
"46","20","49"
"47","23","50"
"48","25","51"
"49","28","52"
"50","23","53"
"51","32","54"
"52","20","55"
"53","25","57"
"54","31","58"
"55","19","59"
"56","30","60"
"57","17","61"
"58","18","62"
"59","20","64"
"60","22","65"
"61","14","66"
"62","24","67"
"63","24","68"
"64","23","69"
"65","19","70"
"66","20","71"
"67","21","72"
"68","27","73"
"69","29","74"
"70","22","75"
"71","28","76"
"72","21","78"
"73","23","79"
"74","19","80"
"75","29","81"
"76","14","82"
"77","19","83"
"78","21","85"
"79","23","86"
"80","31","87"
"81","26","88"
"82","27","89"
"83","21","90"
"84","21","91"
"85","24","92"
"86","19","93"
"87","25","94"
"88","28","95"
"89","31","96"
"90","26","97"
"91","29","98"
"92","19","99"
"93","32","100"
"94","24","101"
"95","28","102"
"96","28","103"
"97","20","104"
"98","26","105"
"99","27","106"
"100","27","107"
"101","21","108"
"102","27","109"
"103","29","110"
"104","22","111"
"105","32","112"
"106","25","113"
"107","19","114"
"108","18","115"
"109","28","116"
"110","28","117"
"111","24","118"
"112","30","119"
"113","24","120"
"114","24","121"
"115","23","122"
"116","26","123"
"117","22","124"
"118","24","125"
"119","28","126"
"120","30","127"
"121","22","128"
"122","17","129"
"123","28","130"
"124","23","132"
"125","26","133"
"126","24","134"
"127","22","135"
"128","24","136"
"129","28","137"
"130","25","138"
"131","15","139"
"132","20","140"
"133","28","141"
"134","20","142"
"135","28","143"
"136","25","144"
"137","16","145"
"138","28","146"
"139","20","147"
"140","27","148"
"141","22","149"
"142","32","150"
"143","20","151"
"144","31","152"
"145","25","153"
"146","19","154"
"147","29","155"
"148","26","156"
"149","23","158"
"150","19","159"
"151","25","160"
"152","19","161"
"153","29","162"
"154","22","163"
"155","28","164"
"156","25","165"
"157","25","166"
"158","17","167"
"159","19","168"
"160","25","169"
"161","28","170"
"162","26","171"
"163","21","172"
"164","22","173"
"165","28","174"
"166","31","175"
"167","19","176"
"168","24","177"
"169","27","178"
"170","24","179"
"171","27","180"
"172","25","181"
"173","29","182"
"174","21","183"
"175","20","184"
"176","22","185"
"177","28","186"
"178","19","187"
"179","28","188"
"180","27","189"
"181","19","190"
"182","28","191"
"183","24","192"
"184","31","193"
"185","24","194"
"186","26","195"
"187","31","196"
"188","19","197"
"189","24","198"
